,vtSymbol,fSymbol,vtType,strikePrice,oSymbol,term,benchMark,defa_v
m1701,m1701,m1701,F,,,-0.05,,3
m1703,m1703,m1703,F,,,0.11,,3
m1703-C-2250,m1703-C-2250,m1703,C,2250,m1703-2250,0.11,2245.06,3
m1703-C-2300,m1703-C-2300,m1703,C,2300,m1703-2300,0.11,2294.95,3
m1703-C-2350,m1703-C-2350,m1703,C,2350,m1703-2350,0.11,2344.84,3
m1703-C-2400,m1703-C-2400,m1703,C,2400,m1703-2400,0.11,2394.73,3
m1703-C-2450,m1703-C-2450,m1703,C,2450,m1703-2450,0.11,2444.62,3
m1703-C-2500,m1703-C-2500,m1703,C,2500,m1703-2500,0.11,2494.51,3
m1703-C-2550,m1703-C-2550,m1703,C,2550,m1703-2550,0.11,2544.4,3
m1703-C-2600,m1703-C-2600,m1703,C,2600,m1703-2600,0.11,2594.29,3
m1703-C-2650,m1703-C-2650,m1703,C,2650,m1703-2650,0.11,2644.18,3
m1703-C-2700,m1703-C-2700,m1703,C,2700,m1703-2700,0.11,2694.07,3
m1703-C-2750,m1703-C-2750,m1703,C,2750,m1703-2750,0.11,2743.96,3
m1703-C-2800,m1703-C-2800,m1703,C,2800,m1703-2800,0.11,2793.85,3
m1703-C-2850,m1703-C-2850,m1703,C,2850,m1703-2850,0.11,2843.74,3
m1703-C-2900,m1703-C-2900,m1703,C,2900,m1703-2900,0.11,2893.63,3
m1703-C-2950,m1703-C-2950,m1703,C,2950,m1703-2950,0.11,2943.52,3
m1703-C-3000,m1703-C-3000,m1703,C,3000,m1703-3000,0.11,2993.41,3
m1703-C-3050,m1703-C-3050,m1703,C,3050,m1703-3050,0.11,3043.3,3
m1703-C-3100,m1703-C-3100,m1703,C,3100,m1703-3100,0.11,3093.19,3
m1703-C-3150,m1703-C-3150,m1703,C,3150,m1703-3150,0.11,3143.08,3
m1703-C-3200,m1703-C-3200,m1703,C,3200,m1703-3200,0.11,3192.97,3
m1703-C-3250,m1703-C-3250,m1703,C,3250,m1703-3250,0.11,3242.86,3
m1703-C-3300,m1703-C-3300,m1703,C,3300,m1703-3300,0.11,3292.75,3
m1703-C-3350,m1703-C-3350,m1703,C,3350,m1703-3350,0.11,3342.64,3
m1703-C-3400,m1703-C-3400,m1703,C,3400,m1703-3400,0.11,3392.53,3
m1703-C-3450,m1703-C-3450,m1703,C,3450,m1703-3450,0.11,3442.42,3
m1703-C-3500,m1703-C-3500,m1703,C,3500,m1703-3500,0.11,3492.31,3
m1703-C-3550,m1703-C-3550,m1703,C,3550,m1703-3550,0.11,3542.2,3
m1703-P-2250,m1703-P-2250,m1703,P,2250,m1703-2250,0.11,2245.06,3
m1703-P-2300,m1703-P-2300,m1703,P,2300,m1703-2300,0.11,2294.95,3
m1703-P-2350,m1703-P-2350,m1703,P,2350,m1703-2350,0.11,2344.84,3
m1703-P-2400,m1703-P-2400,m1703,P,2400,m1703-2400,0.11,2394.73,3
m1703-P-2450,m1703-P-2450,m1703,P,2450,m1703-2450,0.11,2444.62,3
m1703-P-2500,m1703-P-2500,m1703,P,2500,m1703-2500,0.11,2494.51,3
m1703-P-2550,m1703-P-2550,m1703,P,2550,m1703-2550,0.11,2544.4,3
m1703-P-2600,m1703-P-2600,m1703,P,2600,m1703-2600,0.11,2594.29,3
m1703-P-2650,m1703-P-2650,m1703,P,2650,m1703-2650,0.11,2644.18,3
m1703-P-2700,m1703-P-2700,m1703,P,2700,m1703-2700,0.11,2694.07,3
m1703-P-2750,m1703-P-2750,m1703,P,2750,m1703-2750,0.11,2743.96,3
m1703-P-2800,m1703-P-2800,m1703,P,2800,m1703-2800,0.11,2793.85,3
m1703-P-2850,m1703-P-2850,m1703,P,2850,m1703-2850,0.11,2843.74,3
m1703-P-2900,m1703-P-2900,m1703,P,2900,m1703-2900,0.11,2893.63,3
m1703-P-2950,m1703-P-2950,m1703,P,2950,m1703-2950,0.11,2943.52,3
m1703-P-3000,m1703-P-3000,m1703,P,3000,m1703-3000,0.11,2993.41,3
m1703-P-3050,m1703-P-3050,m1703,P,3050,m1703-3050,0.11,3043.3,3
m1703-P-3100,m1703-P-3100,m1703,P,3100,m1703-3100,0.11,3093.19,3
m1703-P-3150,m1703-P-3150,m1703,P,3150,m1703-3150,0.11,3143.08,3
m1703-P-3200,m1703-P-3200,m1703,P,3200,m1703-3200,0.11,3192.97,3
m1703-P-3250,m1703-P-3250,m1703,P,3250,m1703-3250,0.11,3242.86,3
m1703-P-3300,m1703-P-3300,m1703,P,3300,m1703-3300,0.11,3292.75,3
m1703-P-3350,m1703-P-3350,m1703,P,3350,m1703-3350,0.11,3342.64,3
m1703-P-3400,m1703-P-3400,m1703,P,3400,m1703-3400,0.11,3392.53,3
m1703-P-3450,m1703-P-3450,m1703,P,3450,m1703-3450,0.11,3442.42,3
m1703-P-3500,m1703-P-3500,m1703,P,3500,m1703-3500,0.11,3492.31,3
m1703-P-3550,m1703-P-3550,m1703,P,3550,m1703-3550,0.11,3542.2,3
m1705,m1705,m1705,F,,,0.27,,3
m1705-C-2450,m1705-C-2450,m1705,C,2450,m1705-2450,0.27,2436.81,3
m1705-C-2500,m1705-C-2500,m1705,C,2500,m1705-2500,0.27,2486.54,3
m1705-C-2550,m1705-C-2550,m1705,C,2550,m1705-2550,0.27,2536.27,3
m1705-C-2600,m1705-C-2600,m1705,C,2600,m1705-2600,0.27,2586.0,3
m1705-C-2650,m1705-C-2650,m1705,C,2650,m1705-2650,0.27,2635.73,3
m1705-C-2700,m1705-C-2700,m1705,C,2700,m1705-2700,0.27,2685.46,3
m1705-C-2750,m1705-C-2750,m1705,C,2750,m1705-2750,0.27,2735.19,3
m1705-C-2800,m1705-C-2800,m1705,C,2800,m1705-2800,0.27,2784.92,3
m1705-C-2850,m1705-C-2850,m1705,C,2850,m1705-2850,0.27,2834.65,3
m1705-C-2900,m1705-C-2900,m1705,C,2900,m1705-2900,0.27,2884.38,3
m1705-C-2950,m1705-C-2950,m1705,C,2950,m1705-2950,0.27,2934.11,3
m1705-C-3000,m1705-C-3000,m1705,C,3000,m1705-3000,0.27,2983.84,3
m1705-C-3050,m1705-C-3050,m1705,C,3050,m1705-3050,0.27,3033.57,3
m1705-C-3100,m1705-C-3100,m1705,C,3100,m1705-3100,0.27,3083.31,3
m1705-C-3150,m1705-C-3150,m1705,C,3150,m1705-3150,0.27,3133.04,3
m1705-C-3200,m1705-C-3200,m1705,C,3200,m1705-3200,0.27,3182.77,3
m1705-C-3250,m1705-C-3250,m1705,C,3250,m1705-3250,0.27,3232.5,3
m1705-C-3300,m1705-C-3300,m1705,C,3300,m1705-3300,0.27,3282.23,3
m1705-C-3350,m1705-C-3350,m1705,C,3350,m1705-3350,0.27,3331.96,3
m1705-C-3400,m1705-C-3400,m1705,C,3400,m1705-3400,0.27,3381.69,3
m1705-C-3450,m1705-C-3450,m1705,C,3450,m1705-3450,0.27,3431.42,3
m1705-P-2450,m1705-P-2450,m1705,P,2450,m1705-2450,0.27,2436.81,3
m1705-P-2500,m1705-P-2500,m1705,P,2500,m1705-2500,0.27,2486.54,3
m1705-P-2550,m1705-P-2550,m1705,P,2550,m1705-2550,0.27,2536.27,3
m1705-P-2600,m1705-P-2600,m1705,P,2600,m1705-2600,0.27,2586.0,3
m1705-P-2650,m1705-P-2650,m1705,P,2650,m1705-2650,0.27,2635.73,3
m1705-P-2700,m1705-P-2700,m1705,P,2700,m1705-2700,0.27,2685.46,3
m1705-P-2750,m1705-P-2750,m1705,P,2750,m1705-2750,0.27,2735.19,3
m1705-P-2800,m1705-P-2800,m1705,P,2800,m1705-2800,0.27,2784.92,3
m1705-P-2850,m1705-P-2850,m1705,P,2850,m1705-2850,0.27,2834.65,3
m1705-P-2900,m1705-P-2900,m1705,P,2900,m1705-2900,0.27,2884.38,3
m1705-P-2950,m1705-P-2950,m1705,P,2950,m1705-2950,0.27,2934.11,3
m1705-P-3000,m1705-P-3000,m1705,P,3000,m1705-3000,0.27,2983.84,3
m1705-P-3050,m1705-P-3050,m1705,P,3050,m1705-3050,0.27,3033.57,3
m1705-P-3100,m1705-P-3100,m1705,P,3100,m1705-3100,0.27,3083.31,3
m1705-P-3150,m1705-P-3150,m1705,P,3150,m1705-3150,0.27,3133.04,3
m1705-P-3200,m1705-P-3200,m1705,P,3200,m1705-3200,0.27,3182.77,3
m1705-P-3250,m1705-P-3250,m1705,P,3250,m1705-3250,0.27,3232.5,3
m1705-P-3300,m1705-P-3300,m1705,P,3300,m1705-3300,0.27,3282.23,3
m1705-P-3350,m1705-P-3350,m1705,P,3350,m1705-3350,0.27,3331.96,3
m1705-P-3400,m1705-P-3400,m1705,P,3400,m1705-3400,0.27,3381.69,3
m1705-P-3450,m1705-P-3450,m1705,P,3450,m1705-3450,0.27,3431.42,3
m1707,m1707,m1707,F,,,0.44,,3
m1707-C-2450,m1707-C-2450,m1707,C,2450,m1707-2450,0.44,2428.53,3
m1707-C-2500,m1707-C-2500,m1707,C,2500,m1707-2500,0.44,2478.1,3
m1707-C-2550,m1707-C-2550,m1707,C,2550,m1707-2550,0.44,2527.66,3
m1707-C-2600,m1707-C-2600,m1707,C,2600,m1707-2600,0.44,2577.22,3
m1707-C-2650,m1707-C-2650,m1707,C,2650,m1707-2650,0.44,2626.78,3
m1707-C-2700,m1707-C-2700,m1707,C,2700,m1707-2700,0.44,2676.34,3
m1707-C-2750,m1707-C-2750,m1707,C,2750,m1707-2750,0.44,2725.91,3
m1707-C-2800,m1707-C-2800,m1707,C,2800,m1707-2800,0.44,2775.47,3
m1707-C-2850,m1707-C-2850,m1707,C,2850,m1707-2850,0.44,2825.03,3
m1707-C-2900,m1707-C-2900,m1707,C,2900,m1707-2900,0.44,2874.59,3
m1707-C-2950,m1707-C-2950,m1707,C,2950,m1707-2950,0.44,2924.15,3
m1707-C-3000,m1707-C-3000,m1707,C,3000,m1707-3000,0.44,2973.72,3
m1707-C-3050,m1707-C-3050,m1707,C,3050,m1707-3050,0.44,3023.28,3
m1707-C-3100,m1707-C-3100,m1707,C,3100,m1707-3100,0.44,3072.84,3
m1707-C-3150,m1707-C-3150,m1707,C,3150,m1707-3150,0.44,3122.4,3
m1707-C-3200,m1707-C-3200,m1707,C,3200,m1707-3200,0.44,3171.96,3
m1707-P-2450,m1707-P-2450,m1707,P,2450,m1707-2450,0.44,2428.53,3
m1707-P-2500,m1707-P-2500,m1707,P,2500,m1707-2500,0.44,2478.1,3
m1707-P-2550,m1707-P-2550,m1707,P,2550,m1707-2550,0.44,2527.66,3
m1707-P-2600,m1707-P-2600,m1707,P,2600,m1707-2600,0.44,2577.22,3
m1707-P-2650,m1707-P-2650,m1707,P,2650,m1707-2650,0.44,2626.78,3
m1707-P-2700,m1707-P-2700,m1707,P,2700,m1707-2700,0.44,2676.34,3
m1707-P-2750,m1707-P-2750,m1707,P,2750,m1707-2750,0.44,2725.91,3
m1707-P-2800,m1707-P-2800,m1707,P,2800,m1707-2800,0.44,2775.47,3
m1707-P-2850,m1707-P-2850,m1707,P,2850,m1707-2850,0.44,2825.03,3
m1707-P-2900,m1707-P-2900,m1707,P,2900,m1707-2900,0.44,2874.59,3
m1707-P-2950,m1707-P-2950,m1707,P,2950,m1707-2950,0.44,2924.15,3
m1707-P-3000,m1707-P-3000,m1707,P,3000,m1707-3000,0.44,2973.72,3
m1707-P-3050,m1707-P-3050,m1707,P,3050,m1707-3050,0.44,3023.28,3
m1707-P-3100,m1707-P-3100,m1707,P,3100,m1707-3100,0.44,3072.84,3
m1707-P-3150,m1707-P-3150,m1707,P,3150,m1707-3150,0.44,3122.4,3
m1707-P-3200,m1707-P-3200,m1707,P,3200,m1707-3200,0.44,3171.96,3
m1708,m1708,m1708,F,,,0.52,,3
m1708-C-2450,m1708-C-2450,m1708,C,2450,m1708-2450,0.52,2424.65,3
m1708-C-2500,m1708-C-2500,m1708,C,2500,m1708-2500,0.52,2474.13,3
m1708-C-2550,m1708-C-2550,m1708,C,2550,m1708-2550,0.52,2523.62,3
m1708-C-2600,m1708-C-2600,m1708,C,2600,m1708-2600,0.52,2573.1,3
m1708-C-2650,m1708-C-2650,m1708,C,2650,m1708-2650,0.52,2622.58,3
m1708-C-2700,m1708-C-2700,m1708,C,2700,m1708-2700,0.52,2672.07,3
m1708-C-2750,m1708-C-2750,m1708,C,2750,m1708-2750,0.52,2721.55,3
m1708-C-2800,m1708-C-2800,m1708,C,2800,m1708-2800,0.52,2771.03,3
m1708-C-2850,m1708-C-2850,m1708,C,2850,m1708-2850,0.52,2820.51,3
m1708-C-2900,m1708-C-2900,m1708,C,2900,m1708-2900,0.52,2870.0,3
m1708-C-2950,m1708-C-2950,m1708,C,2950,m1708-2950,0.52,2919.48,3
m1708-C-3000,m1708-C-3000,m1708,C,3000,m1708-3000,0.52,2968.96,3
m1708-C-3050,m1708-C-3050,m1708,C,3050,m1708-3050,0.52,3018.44,3
m1708-C-3100,m1708-C-3100,m1708,C,3100,m1708-3100,0.52,3067.93,3
m1708-C-3150,m1708-C-3150,m1708,C,3150,m1708-3150,0.52,3117.41,3
m1708-C-3200,m1708-C-3200,m1708,C,3200,m1708-3200,0.52,3166.89,3
m1708-C-3250,m1708-C-3250,m1708,C,3250,m1708-3250,0.52,3216.38,3
m1708-P-2450,m1708-P-2450,m1708,P,2450,m1708-2450,0.52,2424.65,3
m1708-P-2500,m1708-P-2500,m1708,P,2500,m1708-2500,0.52,2474.13,3
m1708-P-2550,m1708-P-2550,m1708,P,2550,m1708-2550,0.52,2523.62,3
m1708-P-2600,m1708-P-2600,m1708,P,2600,m1708-2600,0.52,2573.1,3
m1708-P-2650,m1708-P-2650,m1708,P,2650,m1708-2650,0.52,2622.58,3
m1708-P-2700,m1708-P-2700,m1708,P,2700,m1708-2700,0.52,2672.07,3
m1708-P-2750,m1708-P-2750,m1708,P,2750,m1708-2750,0.52,2721.55,3
m1708-P-2800,m1708-P-2800,m1708,P,2800,m1708-2800,0.52,2771.03,3
m1708-P-2850,m1708-P-2850,m1708,P,2850,m1708-2850,0.52,2820.51,3
m1708-P-2900,m1708-P-2900,m1708,P,2900,m1708-2900,0.52,2870.0,3
m1708-P-2950,m1708-P-2950,m1708,P,2950,m1708-2950,0.52,2919.48,3
m1708-P-3000,m1708-P-3000,m1708,P,3000,m1708-3000,0.52,2968.96,3
m1708-P-3050,m1708-P-3050,m1708,P,3050,m1708-3050,0.52,3018.44,3
m1708-P-3100,m1708-P-3100,m1708,P,3100,m1708-3100,0.52,3067.93,3
m1708-P-3150,m1708-P-3150,m1708,P,3150,m1708-3150,0.52,3117.41,3
m1708-P-3200,m1708-P-3200,m1708,P,3200,m1708-3200,0.52,3166.89,3
m1708-P-3250,m1708-P-3250,m1708,P,3250,m1708-3250,0.52,3216.38,3
m1709,m1709,m1709,F,,,0.6,,3
m1709-C-2500,m1709-C-2500,m1709,C,2500,m1709-2500,0.6,2470.18,3
m1709-C-2550,m1709-C-2550,m1709,C,2550,m1709-2550,0.6,2519.58,3
m1709-C-2600,m1709-C-2600,m1709,C,2600,m1709-2600,0.6,2568.99,3
m1709-C-2650,m1709-C-2650,m1709,C,2650,m1709-2650,0.6,2618.39,3
m1709-C-2700,m1709-C-2700,m1709,C,2700,m1709-2700,0.6,2667.79,3
m1709-C-2750,m1709-C-2750,m1709,C,2750,m1709-2750,0.6,2717.2,3
m1709-C-2800,m1709-C-2800,m1709,C,2800,m1709-2800,0.6,2766.6,3
m1709-C-2850,m1709-C-2850,m1709,C,2850,m1709-2850,0.6,2816.0,3
m1709-C-2900,m1709-C-2900,m1709,C,2900,m1709-2900,0.6,2865.41,3
m1709-C-2950,m1709-C-2950,m1709,C,2950,m1709-2950,0.6,2914.81,3
m1709-C-3000,m1709-C-3000,m1709,C,3000,m1709-3000,0.6,2964.22,3
m1709-C-3050,m1709-C-3050,m1709,C,3050,m1709-3050,0.6,3013.62,3
m1709-C-3100,m1709-C-3100,m1709,C,3100,m1709-3100,0.6,3063.02,3
m1709-C-3150,m1709-C-3150,m1709,C,3150,m1709-3150,0.6,3112.43,3
m1709-C-3200,m1709-C-3200,m1709,C,3200,m1709-3200,0.6,3161.83,3
m1709-P-2500,m1709-P-2500,m1709,P,2500,m1709-2500,0.6,2470.18,3
m1709-P-2550,m1709-P-2550,m1709,P,2550,m1709-2550,0.6,2519.58,3
m1709-P-2600,m1709-P-2600,m1709,P,2600,m1709-2600,0.6,2568.99,3
m1709-P-2650,m1709-P-2650,m1709,P,2650,m1709-2650,0.6,2618.39,3
m1709-P-2700,m1709-P-2700,m1709,P,2700,m1709-2700,0.6,2667.79,3
m1709-P-2750,m1709-P-2750,m1709,P,2750,m1709-2750,0.6,2717.2,3
m1709-P-2800,m1709-P-2800,m1709,P,2800,m1709-2800,0.6,2766.6,3
m1709-P-2850,m1709-P-2850,m1709,P,2850,m1709-2850,0.6,2816.0,3
m1709-P-2900,m1709-P-2900,m1709,P,2900,m1709-2900,0.6,2865.41,3
m1709-P-2950,m1709-P-2950,m1709,P,2950,m1709-2950,0.6,2914.81,3
m1709-P-3000,m1709-P-3000,m1709,P,3000,m1709-3000,0.6,2964.22,3
m1709-P-3050,m1709-P-3050,m1709,P,3050,m1709-3050,0.6,3013.62,3
m1709-P-3100,m1709-P-3100,m1709,P,3100,m1709-3100,0.6,3063.02,3
m1709-P-3150,m1709-P-3150,m1709,P,3150,m1709-3150,0.6,3112.43,3
m1709-P-3200,m1709-P-3200,m1709,P,3200,m1709-3200,0.6,3161.83,3
m1711,m1711,m1711,F,,,0.77,,3
m1711-C-2600,m1711-C-2600,m1711,C,2600,m1711-2600,0.77,2560.27,3
m1711-C-2650,m1711-C-2650,m1711,C,2650,m1711-2650,0.77,2609.5,3
m1711-C-2700,m1711-C-2700,m1711,C,2700,m1711-2700,0.77,2658.74,3
m1711-C-2750,m1711-C-2750,m1711,C,2750,m1711-2750,0.77,2707.97,3
m1711-C-2800,m1711-C-2800,m1711,C,2800,m1711-2800,0.77,2757.21,3
m1711-C-2850,m1711-C-2850,m1711,C,2850,m1711-2850,0.77,2806.45,3
m1711-C-2900,m1711-C-2900,m1711,C,2900,m1711-2900,0.77,2855.68,3
m1711-C-2950,m1711-C-2950,m1711,C,2950,m1711-2950,0.77,2904.92,3
m1711-C-3000,m1711-C-3000,m1711,C,3000,m1711-3000,0.77,2954.15,3
m1711-C-3050,m1711-C-3050,m1711,C,3050,m1711-3050,0.77,3003.39,3
m1711-C-3100,m1711-C-3100,m1711,C,3100,m1711-3100,0.77,3052.63,3
m1711-C-3150,m1711-C-3150,m1711,C,3150,m1711-3150,0.77,3101.86,3
m1711-C-3200,m1711-C-3200,m1711,C,3200,m1711-3200,0.77,3151.1,3
m1711-P-2600,m1711-P-2600,m1711,P,2600,m1711-2600,0.77,2560.27,3
m1711-P-2650,m1711-P-2650,m1711,P,2650,m1711-2650,0.77,2609.5,3
m1711-P-2700,m1711-P-2700,m1711,P,2700,m1711-2700,0.77,2658.74,3
m1711-P-2750,m1711-P-2750,m1711,P,2750,m1711-2750,0.77,2707.97,3
m1711-P-2800,m1711-P-2800,m1711,P,2800,m1711-2800,0.77,2757.21,3
m1711-P-2850,m1711-P-2850,m1711,P,2850,m1711-2850,0.77,2806.45,3
m1711-P-2900,m1711-P-2900,m1711,P,2900,m1711-2900,0.77,2855.68,3
m1711-P-2950,m1711-P-2950,m1711,P,2950,m1711-2950,0.77,2904.92,3
m1711-P-3000,m1711-P-3000,m1711,P,3000,m1711-3000,0.77,2954.15,3
m1711-P-3050,m1711-P-3050,m1711,P,3050,m1711-3050,0.77,3003.39,3
m1711-P-3100,m1711-P-3100,m1711,P,3100,m1711-3100,0.77,3052.63,3
m1711-P-3150,m1711-P-3150,m1711,P,3150,m1711-3150,0.77,3101.86,3
m1711-P-3200,m1711-P-3200,m1711,P,3200,m1711-3200,0.77,3151.1,3
