,askPrice1_c,bidPrice1_c,askVolume1_c,bidVolume1_c,lastPrice_c,volume_c,openInterest_c,spread_c,vtSymbol_c,fSymbol_c,vtType_c,strikePrice_c,oSymbol,term_c,benchMark_c,defa_v_c,longPos_c,shortPos_c,netPos_c,longAP_c,shortAP_c,askPrice1_p,bidPrice1_p,askVolume1_p,bidVolume1_p,lastPrice_p,volume_p,openInterest_p,spread_p,vtSymbol_p,fSymbol_p,vtType_p,strikePrice_p,term_p,benchMark_p,defa_v_p,longPos_p,shortPos_p,netPos_p,longAP_p,shortAP_p,askPrice1,bidPrice1,askVolume1,bidVolume1,lastPrice,volume,openInterest,spread,vtSymbol,fSymbol,vtType,strikePrice,oSymbol_f,term,benchMark,defa_v,longPos,shortPos,netPos,longAP,shortAP,ts,close_ca,close_re,open_ca,open_re,target_ca,target_re,fixTarget_ca,fixTarget_re,fore_ca,fore_re,ov_ca,ov_re,cv_ca,cv_re
m1707-C-2650,,,,,,,,3.0,m1707-C-2650,m1707,C,2650,m1707-2650,0.44,2626.78,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1707-P-2650,m1707,P,2650,0.44,2626.78,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1707,m1707,F,,,0.44,,3,0,0,0,0,0,9.0,,,,,,,2624.0800000000004,-2652.7,,,3.0,3.0,0.0,0.0
m1707-C-2700,,,,,,,,3.0,m1707-C-2700,m1707,C,2700,m1707-2700,0.44,2676.34,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1707-P-2700,m1707,P,2700,0.44,2676.34,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1707,m1707,F,,,0.44,,3,0,0,0,0,0,9.0,,,,,,,2673.6400000000003,-2702.7,,,3.0,3.0,0.0,0.0
m1707-C-2750,,,,,,,,3.0,m1707-C-2750,m1707,C,2750,m1707-2750,0.44,2725.91,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1707-P-2750,m1707,P,2750,0.44,2725.91,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1707,m1707,F,,,0.44,,3,0,0,0,0,0,9.0,,,,,,,2723.21,-2752.7,,,3.0,3.0,0.0,0.0
m1707-C-2800,,,,,,,,3.0,m1707-C-2800,m1707,C,2800,m1707-2800,0.44,2775.47,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1707-P-2800,m1707,P,2800,0.44,2775.47,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1707,m1707,F,,,0.44,,3,0,0,0,0,0,9.0,,,,,,,2772.77,-2802.7,,,3.0,3.0,0.0,0.0
m1707-C-2850,,,,,,,,3.0,m1707-C-2850,m1707,C,2850,m1707-2850,0.44,2825.03,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1707-P-2850,m1707,P,2850,0.44,2825.03,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1707,m1707,F,,,0.44,,3,0,0,0,0,0,9.0,,,,,,,2822.3300000000004,-2852.7,,,3.0,3.0,0.0,0.0
m1707-C-2900,,,,,,,,3.0,m1707-C-2900,m1707,C,2900,m1707-2900,0.44,2874.59,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1707-P-2900,m1707,P,2900,0.44,2874.59,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1707,m1707,F,,,0.44,,3,0,0,0,0,0,9.0,,,,,,,2871.8900000000003,-2902.7,,,3.0,3.0,0.0,0.0
m1707-C-2950,,,,,,,,3.0,m1707-C-2950,m1707,C,2950,m1707-2950,0.44,2924.15,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1707-P-2950,m1707,P,2950,0.44,2924.15,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1707,m1707,F,,,0.44,,3,0,0,0,0,0,9.0,,,,,,,2921.4500000000003,-2952.7,,,3.0,3.0,0.0,0.0
m1707-C-3000,,,,,,,,3.0,m1707-C-3000,m1707,C,3000,m1707-3000,0.44,2973.72,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1707-P-3000,m1707,P,3000,0.44,2973.72,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1707,m1707,F,,,0.44,,3,0,0,0,0,0,9.0,,,,,,,2971.02,-3002.7,,,3.0,3.0,0.0,0.0
m1707-C-3050,,,,,,,,3.0,m1707-C-3050,m1707,C,3050,m1707-3050,0.44,3023.28,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1707-P-3050,m1707,P,3050,0.44,3023.28,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1707,m1707,F,,,0.44,,3,0,0,0,0,0,9.0,,,,,,,3020.5800000000004,-3052.7,,,3.0,3.0,0.0,0.0
m1707-C-3100,,,,,,,,3.0,m1707-C-3100,m1707,C,3100,m1707-3100,0.44,3072.84,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1707-P-3100,m1707,P,3100,0.44,3072.84,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1707,m1707,F,,,0.44,,3,0,0,0,0,0,9.0,,,,,,,3070.1400000000003,-3102.7,,,3.0,3.0,0.0,0.0
m1707-C-3150,,,,,,,,3.0,m1707-C-3150,m1707,C,3150,m1707-3150,0.44,3122.4,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1707-P-3150,m1707,P,3150,0.44,3122.4,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1707,m1707,F,,,0.44,,3,0,0,0,0,0,9.0,,,,,,,3119.7000000000003,-3152.7,,,3.0,3.0,0.0,0.0
m1707-C-3200,,,,,,,,3.0,m1707-C-3200,m1707,C,3200,m1707-3200,0.44,3171.96,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1707-P-3200,m1707,P,3200,0.44,3171.96,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1707,m1707,F,,,0.44,,3,0,0,0,0,0,9.0,,,,,,,3169.26,-3202.7,,,3.0,3.0,0.0,0.0
m1708-C-2450,,,,,,,,3.0,m1708-C-2450,m1708,C,2450,m1708-2450,0.52,2424.65,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1708-P-2450,m1708,P,2450,0.52,2424.65,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1708,m1708,F,,,0.52,,3,0,0,0,0,0,9.0,,,,,,,2421.9500000000003,-2452.7,,,3.0,3.0,0.0,0.0
m1708-C-2500,,,,,,,,3.0,m1708-C-2500,m1708,C,2500,m1708-2500,0.52,2474.13,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1708-P-2500,m1708,P,2500,0.52,2474.13,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1708,m1708,F,,,0.52,,3,0,0,0,0,0,9.0,,,,,,,2471.4300000000003,-2502.7,,,3.0,3.0,0.0,0.0
m1708-C-2550,,,,,,,,3.0,m1708-C-2550,m1708,C,2550,m1708-2550,0.52,2523.62,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1708-P-2550,m1708,P,2550,0.52,2523.62,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1708,m1708,F,,,0.52,,3,0,0,0,0,0,9.0,,,,,,,2520.92,-2552.7,,,3.0,3.0,0.0,0.0
m1708-C-2600,,,,,,,,3.0,m1708-C-2600,m1708,C,2600,m1708-2600,0.52,2573.1,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1708-P-2600,m1708,P,2600,0.52,2573.1,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1708,m1708,F,,,0.52,,3,0,0,0,0,0,9.0,,,,,,,2570.4,-2602.7,,,3.0,3.0,0.0,0.0
m1708-C-2650,,,,,,,,3.0,m1708-C-2650,m1708,C,2650,m1708-2650,0.52,2622.58,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1708-P-2650,m1708,P,2650,0.52,2622.58,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1708,m1708,F,,,0.52,,3,0,0,0,0,0,9.0,,,,,,,2619.88,-2652.7,,,3.0,3.0,0.0,0.0
m1708-C-2700,,,,,,,,3.0,m1708-C-2700,m1708,C,2700,m1708-2700,0.52,2672.07,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1708-P-2700,m1708,P,2700,0.52,2672.07,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1708,m1708,F,,,0.52,,3,0,0,0,0,0,9.0,,,,,,,2669.3700000000003,-2702.7,,,3.0,3.0,0.0,0.0
m1708-C-2750,,,,,,,,3.0,m1708-C-2750,m1708,C,2750,m1708-2750,0.52,2721.55,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1708-P-2750,m1708,P,2750,0.52,2721.55,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1708,m1708,F,,,0.52,,3,0,0,0,0,0,9.0,,,,,,,2718.8500000000004,-2752.7,,,3.0,3.0,0.0,0.0
m1708-C-2800,,,,,,,,3.0,m1708-C-2800,m1708,C,2800,m1708-2800,0.52,2771.03,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1708-P-2800,m1708,P,2800,0.52,2771.03,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1708,m1708,F,,,0.52,,3,0,0,0,0,0,9.0,,,,,,,2768.3300000000004,-2802.7,,,3.0,3.0,0.0,0.0
m1708-C-2850,,,,,,,,3.0,m1708-C-2850,m1708,C,2850,m1708-2850,0.52,2820.51,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1708-P-2850,m1708,P,2850,0.52,2820.51,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1708,m1708,F,,,0.52,,3,0,0,0,0,0,9.0,,,,,,,2817.8100000000004,-2852.7,,,3.0,3.0,0.0,0.0
m1708-C-2900,,,,,,,,3.0,m1708-C-2900,m1708,C,2900,m1708-2900,0.52,2870.0,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1708-P-2900,m1708,P,2900,0.52,2870.0,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1708,m1708,F,,,0.52,,3,0,0,0,0,0,9.0,,,,,,,2867.3,-2902.7,,,3.0,3.0,0.0,0.0
m1708-C-2950,,,,,,,,3.0,m1708-C-2950,m1708,C,2950,m1708-2950,0.52,2919.48,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1708-P-2950,m1708,P,2950,0.52,2919.48,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1708,m1708,F,,,0.52,,3,0,0,0,0,0,9.0,,,,,,,2916.78,-2952.7,,,3.0,3.0,0.0,0.0
m1708-C-3000,,,,,,,,3.0,m1708-C-3000,m1708,C,3000,m1708-3000,0.52,2968.96,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1708-P-3000,m1708,P,3000,0.52,2968.96,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1708,m1708,F,,,0.52,,3,0,0,0,0,0,9.0,,,,,,,2966.26,-3002.7,,,3.0,3.0,0.0,0.0
m1708-C-3050,,,,,,,,3.0,m1708-C-3050,m1708,C,3050,m1708-3050,0.52,3018.44,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1708-P-3050,m1708,P,3050,0.52,3018.44,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1708,m1708,F,,,0.52,,3,0,0,0,0,0,9.0,,,,,,,3015.7400000000002,-3052.7,,,3.0,3.0,0.0,0.0
m1708-C-3100,,,,,,,,3.0,m1708-C-3100,m1708,C,3100,m1708-3100,0.52,3067.93,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1708-P-3100,m1708,P,3100,0.52,3067.93,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1708,m1708,F,,,0.52,,3,0,0,0,0,0,9.0,,,,,,,3065.23,-3102.7,,,3.0,3.0,0.0,0.0
m1708-C-3150,,,,,,,,3.0,m1708-C-3150,m1708,C,3150,m1708-3150,0.52,3117.41,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1708-P-3150,m1708,P,3150,0.52,3117.41,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1708,m1708,F,,,0.52,,3,0,0,0,0,0,9.0,,,,,,,3114.71,-3152.7,,,3.0,3.0,0.0,0.0
m1708-C-3200,,,,,,,,3.0,m1708-C-3200,m1708,C,3200,m1708-3200,0.52,3166.89,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1708-P-3200,m1708,P,3200,0.52,3166.89,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1708,m1708,F,,,0.52,,3,0,0,0,0,0,9.0,,,,,,,3164.19,-3202.7,,,3.0,3.0,0.0,0.0
m1708-C-3250,,,,,,,,3.0,m1708-C-3250,m1708,C,3250,m1708-3250,0.52,3216.38,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1708-P-3250,m1708,P,3250,0.52,3216.38,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1708,m1708,F,,,0.52,,3,0,0,0,0,0,9.0,,,,,,,3213.6800000000003,-3252.7,,,3.0,3.0,0.0,0.0
m1709-C-2500,,,,,,,,3.0,m1709-C-2500,m1709,C,2500,m1709-2500,0.6,2470.18,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1709-P-2500,m1709,P,2500,0.6,2470.18,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1709,m1709,F,,,0.6,,3,0,0,0,0,0,9.0,,,,,,,2467.48,-2502.7,,,3.0,3.0,0.0,0.0
m1709-C-2550,,,,,,,,3.0,m1709-C-2550,m1709,C,2550,m1709-2550,0.6,2519.58,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1709-P-2550,m1709,P,2550,0.6,2519.58,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1709,m1709,F,,,0.6,,3,0,0,0,0,0,9.0,,,,,,,2516.88,-2552.7,,,3.0,3.0,0.0,0.0
m1709-C-2600,,,,,,,,3.0,m1709-C-2600,m1709,C,2600,m1709-2600,0.6,2568.99,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1709-P-2600,m1709,P,2600,0.6,2568.99,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1709,m1709,F,,,0.6,,3,0,0,0,0,0,9.0,,,,,,,2566.29,-2602.7,,,3.0,3.0,0.0,0.0
m1709-C-2650,,,,,,,,3.0,m1709-C-2650,m1709,C,2650,m1709-2650,0.6,2618.39,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1709-P-2650,m1709,P,2650,0.6,2618.39,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1709,m1709,F,,,0.6,,3,0,0,0,0,0,9.0,,,,,,,2615.69,-2652.7,,,3.0,3.0,0.0,0.0
m1709-C-2700,,,,,,,,3.0,m1709-C-2700,m1709,C,2700,m1709-2700,0.6,2667.79,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1709-P-2700,m1709,P,2700,0.6,2667.79,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1709,m1709,F,,,0.6,,3,0,0,0,0,0,9.0,,,,,,,2665.09,-2702.7,,,3.0,3.0,0.0,0.0
m1709-C-2750,,,,,,,,3.0,m1709-C-2750,m1709,C,2750,m1709-2750,0.6,2717.2,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1709-P-2750,m1709,P,2750,0.6,2717.2,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1709,m1709,F,,,0.6,,3,0,0,0,0,0,9.0,,,,,,,2714.5,-2752.7,,,3.0,3.0,0.0,0.0
m1709-C-2800,,,,,,,,3.0,m1709-C-2800,m1709,C,2800,m1709-2800,0.6,2766.6,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1709-P-2800,m1709,P,2800,0.6,2766.6,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1709,m1709,F,,,0.6,,3,0,0,0,0,0,9.0,,,,,,,2763.9,-2802.7,,,3.0,3.0,0.0,0.0
m1709-C-2850,,,,,,,,3.0,m1709-C-2850,m1709,C,2850,m1709-2850,0.6,2816.0,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1709-P-2850,m1709,P,2850,0.6,2816.0,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1709,m1709,F,,,0.6,,3,0,0,0,0,0,9.0,,,,,,,2813.3,-2852.7,,,3.0,3.0,0.0,0.0
m1709-C-2900,,,,,,,,3.0,m1709-C-2900,m1709,C,2900,m1709-2900,0.6,2865.41,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1709-P-2900,m1709,P,2900,0.6,2865.41,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1709,m1709,F,,,0.6,,3,0,0,0,0,0,9.0,,,,,,,2862.71,-2902.7,,,3.0,3.0,0.0,0.0
m1709-C-2950,,,,,,,,3.0,m1709-C-2950,m1709,C,2950,m1709-2950,0.6,2914.81,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1709-P-2950,m1709,P,2950,0.6,2914.81,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1709,m1709,F,,,0.6,,3,0,0,0,0,0,9.0,,,,,,,2912.11,-2952.7,,,3.0,3.0,0.0,0.0
m1709-C-3000,,,,,,,,3.0,m1709-C-3000,m1709,C,3000,m1709-3000,0.6,2964.22,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1709-P-3000,m1709,P,3000,0.6,2964.22,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1709,m1709,F,,,0.6,,3,0,0,0,0,0,9.0,,,,,,,2961.52,-3002.7,,,3.0,3.0,0.0,0.0
m1709-C-3050,,,,,,,,3.0,m1709-C-3050,m1709,C,3050,m1709-3050,0.6,3013.62,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1709-P-3050,m1709,P,3050,0.6,3013.62,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1709,m1709,F,,,0.6,,3,0,0,0,0,0,9.0,,,,,,,3010.92,-3052.7,,,3.0,3.0,0.0,0.0
m1709-C-3100,,,,,,,,3.0,m1709-C-3100,m1709,C,3100,m1709-3100,0.6,3063.02,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1709-P-3100,m1709,P,3100,0.6,3063.02,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1709,m1709,F,,,0.6,,3,0,0,0,0,0,9.0,,,,,,,3060.32,-3102.7,,,3.0,3.0,0.0,0.0
m1709-C-3150,,,,,,,,3.0,m1709-C-3150,m1709,C,3150,m1709-3150,0.6,3112.43,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1709-P-3150,m1709,P,3150,0.6,3112.43,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1709,m1709,F,,,0.6,,3,0,0,0,0,0,9.0,,,,,,,3109.73,-3152.7,,,3.0,3.0,0.0,0.0
m1709-C-3200,,,,,,,,3.0,m1709-C-3200,m1709,C,3200,m1709-3200,0.6,3161.83,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1709-P-3200,m1709,P,3200,0.6,3161.83,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1709,m1709,F,,,0.6,,3,0,0,0,0,0,9.0,,,,,,,3159.13,-3202.7,,,3.0,3.0,0.0,0.0
m1711-C-2600,,,,,,,,3.0,m1711-C-2600,m1711,C,2600,m1711-2600,0.77,2560.27,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1711-P-2600,m1711,P,2600,0.77,2560.27,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1711,m1711,F,,,0.77,,3,0,0,0,0,0,9.0,,,,,,,2557.57,-2602.7,,,3.0,3.0,0.0,0.0
m1711-C-2650,,,,,,,,3.0,m1711-C-2650,m1711,C,2650,m1711-2650,0.77,2609.5,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1711-P-2650,m1711,P,2650,0.77,2609.5,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1711,m1711,F,,,0.77,,3,0,0,0,0,0,9.0,,,,,,,2606.8,-2652.7,,,3.0,3.0,0.0,0.0
m1711-C-2700,,,,,,,,3.0,m1711-C-2700,m1711,C,2700,m1711-2700,0.77,2658.74,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1711-P-2700,m1711,P,2700,0.77,2658.74,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1711,m1711,F,,,0.77,,3,0,0,0,0,0,9.0,,,,,,,2656.04,-2702.7,,,3.0,3.0,0.0,0.0
m1711-C-2750,,,,,,,,3.0,m1711-C-2750,m1711,C,2750,m1711-2750,0.77,2707.97,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1711-P-2750,m1711,P,2750,0.77,2707.97,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1711,m1711,F,,,0.77,,3,0,0,0,0,0,9.0,,,,,,,2705.27,-2752.7,,,3.0,3.0,0.0,0.0
m1711-C-2800,,,,,,,,3.0,m1711-C-2800,m1711,C,2800,m1711-2800,0.77,2757.21,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1711-P-2800,m1711,P,2800,0.77,2757.21,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1711,m1711,F,,,0.77,,3,0,0,0,0,0,9.0,,,,,,,2754.51,-2802.7,,,3.0,3.0,0.0,0.0
m1711-C-2850,,,,,,,,3.0,m1711-C-2850,m1711,C,2850,m1711-2850,0.77,2806.45,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1711-P-2850,m1711,P,2850,0.77,2806.45,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1711,m1711,F,,,0.77,,3,0,0,0,0,0,9.0,,,,,,,2803.75,-2852.7,,,3.0,3.0,0.0,0.0
m1711-C-2900,,,,,,,,3.0,m1711-C-2900,m1711,C,2900,m1711-2900,0.77,2855.68,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1711-P-2900,m1711,P,2900,0.77,2855.68,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1711,m1711,F,,,0.77,,3,0,0,0,0,0,9.0,,,,,,,2852.98,-2902.7,,,3.0,3.0,0.0,0.0
m1711-C-2950,,,,,,,,3.0,m1711-C-2950,m1711,C,2950,m1711-2950,0.77,2904.92,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1711-P-2950,m1711,P,2950,0.77,2904.92,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1711,m1711,F,,,0.77,,3,0,0,0,0,0,9.0,,,,,,,2902.2200000000003,-2952.7,,,3.0,3.0,0.0,0.0
m1711-C-3000,,,,,,,,3.0,m1711-C-3000,m1711,C,3000,m1711-3000,0.77,2954.15,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1711-P-3000,m1711,P,3000,0.77,2954.15,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1711,m1711,F,,,0.77,,3,0,0,0,0,0,9.0,,,,,,,2951.4500000000003,-3002.7,,,3.0,3.0,0.0,0.0
m1711-C-3050,,,,,,,,3.0,m1711-C-3050,m1711,C,3050,m1711-3050,0.77,3003.39,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1711-P-3050,m1711,P,3050,0.77,3003.39,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1711,m1711,F,,,0.77,,3,0,0,0,0,0,9.0,,,,,,,3000.69,-3052.7,,,3.0,3.0,0.0,0.0
m1711-C-3100,,,,,,,,3.0,m1711-C-3100,m1711,C,3100,m1711-3100,0.77,3052.63,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1711-P-3100,m1711,P,3100,0.77,3052.63,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1711,m1711,F,,,0.77,,3,0,0,0,0,0,9.0,,,,,,,3049.9300000000003,-3102.7,,,3.0,3.0,0.0,0.0
m1711-C-3150,,,,,,,,3.0,m1711-C-3150,m1711,C,3150,m1711-3150,0.77,3101.86,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1711-P-3150,m1711,P,3150,0.77,3101.86,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1711,m1711,F,,,0.77,,3,0,0,0,0,0,9.0,,,,,,,3099.1600000000003,-3152.7,,,3.0,3.0,0.0,0.0
m1711-C-3200,,,,,,,,3.0,m1711-C-3200,m1711,C,3200,m1711-3200,0.77,3151.1,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1711-P-3200,m1711,P,3200,0.77,3151.1,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.0,m1711,m1711,F,,,0.77,,3,0,0,0,0,0,9.0,,,,,,,3148.4,-3202.7,,,3.0,3.0,0.0,0.0
